STATION_NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WT07
EL PASO INTERNATIONAL AIRPORT TX US,20161115,0,0,58,76,41,3.6,150,160,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161116,0,0,59,77,40,4.9,250,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161117,0,0,67,78,57,14.8,240,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161118,0,0,58,67,41,9.6,350,330,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161119,0,0,51,64,40,6,100,100,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161120,0,0,53,71,40,4.3,10,20,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161121,0,0,56,69,47,7.2,240,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161122,0,0,60,65,44,10.5,280,280,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161123,0,0,51,65,36,4.9,70,30,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161124,0,0,51,68,36,10.3,360,360,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161125,0,0,52,61,43,8.1,110,110,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161126,0,0,54,65,46,2.9,150,110,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161127,0,0,61,67,51,17.2,290,260,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161128,0,0,52,58,43,19.9,260,260,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161129,0.01,0,50,53,36,16.1,310,310,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161130,0,0,42,53,26,4.5,240,190,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161201,0,0,42,60,27,4,200,200,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161202,0,0,48,63,36,7.8,80,70,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161203,0.24,0,46,48,39,10.5,10,10,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161204,0,0,46,57,37,6.7,350,360,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161205,0,0,46,62,32,9.8,260,260,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161206,0,0,55,64,44,8.9,230,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161207,0,0,54,57,49,6.9,290,290,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161208,0,0,44,52,30,9.4,100,110,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161209,0,0,35,47,29,3.4,20,30,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161210,0,0,41,58,32,6.7,170,190,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161211,0,0,56,72,45,11,270,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161212,0,0,58,70,43,6.7,210,210,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161213,0,0,61,72,51,8.5,250,230,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161214,0,0,59,72,46,5.4,140,140,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161215,0,0,57,74,41,6.5,240,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161216,0,0,62,76,52,19.2,250,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161217,0,-9999,61,65,36,21.5,240,240,1
EL PASO INTERNATIONAL AIRPORT TX US,20161218,0,0,41,51,29,4.9,30,360,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161219,0,0,41,53,34,4,160,170,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161220,0,0,42,59,29,2.2,360,230,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161221,0.04,-9999,51,62,44,4.9,200,210,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161222,0.43,-9999,51,54,44,5.8,110,120,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161223,0,0,49,63,39,5.1,240,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161224,0,0,52,69,41,6.7,250,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161225,0,0,51,55,36,14.3,250,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161226,0,0,41,53,31,3.1,360,360,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161227,0,0,43,56,35,5.8,10,350,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161228,0,0,47,65,37,3.1,190,200,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161229,0.11,-9999,50,52,39,9.8,80,80,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161230,0,-9999,42,49,40,5.6,170,170,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20161231,0.04,0,48,59,40,8.7,300,290,-9999
